Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
16976425,4988379,11010,679491,Father's education,679494,Child's race,25280424,23560780,679494,679491,2017-07-04 05:17:31 UTC,2017-07-04 05:17:31 UTC,2.887,"",FALSE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976426,4988379,11010,679656,Mother's multiple-job holding,679651,Father's non-standard work hours,25285906,23560782,679651,679656,2017-07-04 05:17:44 UTC,2017-07-04 05:17:44 UTC,7.314,"",FALSE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976427,4988379,11010,679490,Mother's education,679648,Father's age at childbirth,25285877,23560783,679648,679490,2017-07-04 05:17:46 UTC,2017-07-04 05:17:46 UTC,1.415,"",TRUE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976428,4988379,11010,679654,Mother's age at childbirth,679652,Foreign-born father,25285835,23560785,679654,679652,2017-07-04 05:17:55 UTC,2017-07-04 05:17:55 UTC,3.346,"",FALSE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976429,4988379,11010,679648,Father's age at childbirth,679486,Child's gender,25285694,23560786,679648,679486,2017-07-04 05:17:57 UTC,2017-07-04 05:17:57 UTC,1.446,"",TRUE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976430,4988379,11010,679655,Mother's incarceration,679645,Child's birth weight,25285907,23560789,679645,679655,2017-07-04 05:18:10 UTC,2017-07-04 05:18:10 UTC,2.178,"",FALSE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976431,4988379,11010,679654,Mother's age at childbirth,679494,Child's race,25285570,23560793,679654,679494,2017-07-04 05:18:25 UTC,2017-07-04 05:18:25 UTC,2.423,"",FALSE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976432,4988379,11010,679485,Income to poverty ratio,679492,Household size,25280405,23560794,679492,679485,2017-07-04 05:18:27 UTC,2017-07-04 05:18:27 UTC,1.316,"",TRUE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976433,4988379,11010,679649,Father's incarceration,679661,Number of parental romantic relationships,25285810,23560795,679649,679661,2017-07-04 05:18:33 UTC,2017-07-04 05:18:33 UTC,6.05,"",TRUE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976434,4988379,11010,679654,Mother's age at childbirth,679492,Household size,25285574,23560796,679654,679492,2017-07-04 05:18:36 UTC,2017-07-04 05:18:36 UTC,2.685,"",TRUE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976435,4988379,11010,679651,Father's non-standard work hours,679486,Child's gender,25285824,23560797,679651,679486,2017-07-04 05:18:39 UTC,2017-07-04 05:18:39 UTC,2.706,"",TRUE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976436,4988379,11010,679657,Mother's non-standard work hours,679651,Father's non-standard work hours,25285886,23560800,679651,679657,2017-07-04 05:19:05 UTC,2017-07-04 05:19:05 UTC,14.481,"",FALSE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976437,4988379,11010,679494,Child's race,679486,Child's gender,25280433,23560801,679494,679486,2017-07-04 05:19:13 UTC,2017-07-04 05:19:13 UTC,7.158,"",TRUE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976438,4988379,11010,679657,Mother's non-standard work hours,679492,Household size,25285458,23560802,679492,679657,2017-07-04 05:19:16 UTC,2017-07-04 05:19:16 UTC,2.913,"",TRUE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976439,4988379,11010,679490,Mother's education,679659,Never-married mother,25285446,23560803,679490,679659,2017-07-04 05:19:18 UTC,2017-07-04 05:19:18 UTC,1.392,"",TRUE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976440,4988379,11010,679487,Household income,679485,Income to poverty ratio,25280455,23560804,679487,679485,2017-07-04 05:19:19 UTC,2017-07-04 05:19:19 UTC,1.186,"",TRUE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
16976441,4988379,11010,679651,Father's non-standard work hours,679494,Child's race,25285804,23560805,679494,679651,2017-07-04 05:19:24 UTC,2017-07-04 05:19:24 UTC,4.456,"",TRUE,0c68e8e1120995dbf561c1497e3fa699,ff_job_training,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:54.0) Gecko/20100101 Firefox/54.0,DIRECT_VISIT,FALSE,NA
